Area;Year;Population;Violent-crime-number;Violent-crime-number-rate;Murder-and-nonnegligent-manslaughter;Murder-and-nonnegligent-manslaughter-rate;Rape;Rape-rate;Robbery;Robbery-rate;Aggravated-assault;Aggravated-assault-rate;Property-crime;Property-crime-rate;Burglary;Burglary-rate;Larceny-theft;Larceny-theft-rate;Motor-vehicle-theft;Motor-vehicle-theft-rate;
Ohio;2014;11594163;33030;284,9;464;4,0;4097;35,3;12753;110,0;14771;127,4;324528;2799,1;78845;680,0;227668;1963,6;18015;155,4;
Ohio;2015;11613423;33898;291,9;500;4,3;4154;35,8;12554;108,1;15695;135,1;300525;2587,7;69303;596,7;213993;1842,6;17229;148,4;
Wisconsin;2009;5654774;14650;259,1;146;2,6;1118;19,8;4904;86,7;8482;150,0;147692;2611,8;26813;474,2;111947;1979,7;8932;158,0;
Wisconsin;2010;5686986;14142;248,7;155;2,7;1187;20,9;4504;79,2;8296;145,9;142612;2507,7;26566;467,1;107908;1897,5;8138;143,1;
Wisconsin;2011;5709843;14268;249,9;138;2,4;1190;20,8;4600;80,6;8340;146,1;139912;2450,4;27167;475,8;104472;1829,7;8273;144,9;
Wisconsin;2012;5726398;16064;280,5;173;3,0;1219;21,3;4622;80,7;10050;175,5;140513;2453,8;27945;488,0;104352;1822,3;8216;143,5;
Wisconsin;2013;5742953;16118;280,7;163;2,8;1308;22,8;4834;84,2;9285;161,7;125694;2188,7;24358;424,1;93946;1635,8;7390;128,7;
Wisconsin;2014;5757564;16714;290,3;165;2,9;1168;20,3;5066;88,0;9809;170,4;120238;2088,3;21216;368,5;89103;1547,6;9919;172,3;
Wisconsin;2015;5771337;17647;305,8;240;4,2;1224;21,2;5232;90,7;10395;180,1;113924;1974,0;19554;338,8;83385;1444,8;10985;190,3;
Iowa;2009;3007856;8485;282,1;38;1,3;890;29,6;1201;39,9;6356;211,3;70080;2329,9;16419;545,9;49757;1654,2;3904;129,8;
Iowa;2010;3046355;8333;273,5;39;1,3;836;27,4;1011;33,2;6447;211,6;68315;2242,5;16656;546,8;47883;1571,8;3776;124,0;
Iowa;2011;3064097;7883;257,3;44;1,4;866;28,3;824;26,9;6149;200,7;72043;2351,2;17573;573,5;50472;1647,2;3998;130,5;
Iowa;2012;3074186;8112;263,9;45;1,5;871;28,3;962;31,3;6234;202,8;69839;2271,8;17096;556,1;48720;1584,8;4023;130,9;
Iowa;2013;3092341;8443;273,0;41;1,3;873;28,2;937;30,3;6332;204,8;67976;2198,2;15918;514,8;47803;1545,9;4255;137,6;
Iowa;2014;3107126;8497;273,5;60;1,9;828;26,6;1045;33,6;6264;201,6;65056;2093,8;14428;464,4;46477;1495,8;4151;133,6;
Iowa;2015;3123899;8936;286,1;72;2,3;851;27,2;1047;33,5;6661;213,2;63957;2047,3;14892;476,7;44723;1431,6;4342;139,0;
Kansas;2009;2818747;11460;406,6;125;4,4;1179;41,8;1786;63,4;8370;296,9;90930;3225,9;19473;690,8;65499;2323,7;5958;211,4;
Kansas;2010;2853118;10531;369,1;100;3,5;1107;38,8;1544;54,1;7780;272,7;89015;3119,9;19404;680,1;63602;2229,2;6009;210,6;
Kansas;2011;2870386;10209;355,7;111;3,9;1122;39,1;1448;50,4;7528;262,3;88655;3088,6;18712;651,9;63259;2203,8;6684;232,9;
Kansas;2012;2885905;10232;354,6;84;2,9;1053;36,5;1500;52,0;7595;263,2;90710;3143,2;18767;650,3;65165;2258,0;6778;234,9;
Kansas;2013;2895801;9928;342,8;117;4,0;1003;34,6;1339;46,2;7177;247,8;85704;2959,6;17476;603,5;61557;2125,7;6671;230,4;
Kansas;2014;2904021;10123;348,6;91;3,1;1075;37,0;1362;46,9;7259;250,0;79431;2735,2;15828;545,0;56697;1952,4;6906;237,8;
